global_step,shapley,ghost_score,jiacheng_score
100,0.28502074196419885,2.46875,1.4140625
100,-0.20346374724992872,0.8203125,0.61328125
100,0.20832088605296611,2.578125,1.34375
100,-0.04827605321653175,1.625,0.80859375
100,0.01923194574522693,1.7734375,0.79296875
100,0.4151741570170284,3.03125,1.640625
100,-0.10998325142739208,1.3203125,0.80078125
100,0.17408250316306975,2.140625,1.4921875
100,0.1056060111925834,1.8203125,1.0859375
100,0.36706726988831456,2.75,1.515625
100,0.3363823023385033,2.78125,1.5078125
100,0.34308931262422504,2.890625,1.4609375
100,0.22192215836463874,2.5625,1.4765625
100,-0.08173722667848636,1.3046875,0.8203125
100,-0.09740070029254598,1.5625,0.7578125
100,0.31764923738912976,2.6875,1.375
200,0.22509655606979811,2.625,1.3125
200,0.0021946508732153375,1.7890625,1.0
200,0.2724638825421543,2.515625,1.3671875
200,-0.11931805007600912,1.0703125,0.6640625
200,0.010987691952145096,1.5,0.828125
200,0.32562141147697793,2.796875,1.7421875
200,0.31641435993476974,2.5,1.375
200,-0.07420034275620219,1.5,0.76953125
200,-0.10416535398737566,1.203125,0.59375
200,0.05104795686626728,2.109375,1.0546875
200,0.18560138337682247,2.4375,1.25
200,0.16350880121939673,2.28125,1.21875
200,0.2778442867245601,2.75,1.5546875
200,0.09563690294622937,2.0625,1.1640625
200,0.34321477524753896,2.90625,1.71875
200,0.18210382196471064,2.296875,1.3203125
300,-0.12788444078707742,1.1015625,0.7265625
300,-0.15396500316090134,1.046875,0.76953125
300,0.26191667989128914,2.5625,1.2734375
300,0.21532967341902906,2.546875,1.6015625
300,0.3224425746454073,3.3125,2.03125
300,0.026905359505945466,1.8828125,0.96484375
300,0.31188545264414447,2.5,1.421875
300,-0.1803464260240625,0.65625,1.390625
300,0.16330306031858768,2.328125,1.2421875
300,0.018960910237765718,1.4296875,1.375
300,0.38080627849797755,2.890625,1.875
300,0.3863146449470674,2.6875,1.625
300,0.23025457039705124,2.703125,1.4296875
300,0.15063977763772696,2.296875,1.2578125
300,-0.05794272371508705,1.421875,0.83984375
300,0.22862570529513856,2.359375,1.1796875
400,0.13792002952559593,2.4375,1.1953125
400,0.14798794299775728,2.421875,1.265625
400,-0.007804213803774365,1.875,0.8125
400,-0.13509978897513092,1.2734375,0.66015625
400,-0.022785357535259874,1.421875,0.8359375
400,-0.13114489203288018,1.3046875,0.6171875
400,0.3362593146328502,2.671875,1.3984375
400,0.11267244012497914,1.8984375,1.0703125
400,0.3489100144484421,2.6875,1.546875
400,0.008600151795903786,1.5,0.99609375
400,0.3433247138440988,2.8125,1.5390625
400,0.010492576450242463,1.75,0.88671875
400,0.38320070170714726,2.625,1.4921875
400,0.18586414569046375,2.296875,1.21875
400,0.12298384752725586,2.203125,1.234375
400,0.3693117329773091,2.578125,1.4453125
